label,translation
"Home","Accueil"
"Import data from SHP","Import de données rapide"
"Import data from other sources","Import de données expert"
"Mapping","Carte"
"Evaluation - Criterion B","Evaluation critère B"
"Habitat quality/population decline","Qualité de l'habitat/déclin de la population"
"Summary report","Rapport"
"Welcome to ConApp !","Bienvenue sur ConApp !"
"This app is designed to help you:","Cette application est conçue pour vous aider à :"
"Identify the presence of threatened (extinction risk status published on the IUCN Red List; see ","Identifier la présence d'espèces menacées (statut de risque d'extinction publié sur la liste rouge de l'UICN ; voir "
") or potentially threatened (preliminary extinction risk status) plant species at a site of your choice.",") ou potentiellement menacées (statut préliminaire de risque d'extinction) sur un site de votre choix."
"To do this, you have the choice of importing a shapefile of your study area or drawing a polygon on a map.","Pour ce faire, vous avez le choix entre importer un fichier de forme de votre zone d'étude ou dessiner un polygone sur une carte."
"Identify potentially or likely threatened plant species at a site (Tropical Africa only)","Identifier les espèces de plantes potentiellement ou très probablement menacées dans une zone définie (Afrique tropicale seulement"
"Extent of occurence (EOO)","Etendue des occurrences"
"Area of occupancy (AOO)","Aire d'occupation (AOO)"
"Estimated number of location","Nombre estimé des locations"
"IUCN preliminary category","Catégorie préliminaire de l'UICN"
"True if taxon is range-restricted","TRUE si le taxa a une aire de distribution restreinte"
"IUCN code of assessment","Code UICN de l'évaluation"
"Potential issue in AOO estimation","Problème potentiel de l'estimation de l'AOO"
"Potential issue in EOO estimation","Problème potentiel de l'estimation de l'EOO"
"Main threat identified","Menace principale identifiée"
"Number of location threatened by mining","Nombre de location menacée par l'activité minière"
"Number of location threatened by agroindustry","Nombre de location menacée par l'agroindustrie"
"Number of location threatened by industrial logging","Nombre de location menacée par l'exploitation industrielle du bois"
"Number of location threatened by small-scale agriculture","Nombre de location menacée par l'agriculture à petite échelle"
"Number of location in protected areas","Nombre de location dans des aires protégées"
"No results of criterion b analysis to display","Pas de résultats du critère B à montrer"
"Launching calculation","Lancement des calculs"
"Extent of Occurrences multi-taxa computation","Calcul multi-taxa de l'Etendue des Occurrences"
"Area of occupancy computation","Calcul de l'Aire d'Occupation"
"Number of locations computation","Calcul du nombre de Location"
"Categorize taxa according to IUCN criterion B","Catégorisation des taxa selon le critère B de l'UICN"
"Conduct a preliminary multi-species assessment of extinction risk under Criterion B","Conduire une évaluation préliminaire multi-espèce des risques d'extinction selon le critère B"
"The development of this application has been funded by the","Le développement de cette application a été financé par la"
"This is a collaborative work between several institutions:","Il résulte d'un travail collaboratif entre plusieurs institutions"
"Obtain information on the distribution of Gabon's threatened plant species.","Obtenir des informations sur la distribution des espèces de plantes menacéees du Gabon"
"Get information on (threatened) plant species in Gabon (not yet available)","Obtenir des information sur les espèces de plantes (menacées) du Gabon"
"Obtain the published extinction risk status on the IUCN Red List (if it exists) of one or more species and define","Obtenir les statuts de risque d'extinction publiés dans la Red List de l'UICN (si existant) d'une ou plusieurs espèces et définir"
"a preliminary extinction risk status according to criterion B (geographic range) from the IUCN Red List based on","un statut de risque d'extinction préliminaire selon le critère B (aire géographique) de la Liste Rouge de l'UICN selon"
"the most recent distribution data. This can be done from your own distribution data or by getting distribution data","des données de distribution les plus récentes. Cela peut être fait à partir de votre propre jeu de données de distribution ou en obtenant des données de distribution"
"You must perform the criterion b analysis before you can generate the report.","Vous devez faire l'analyse du Critère B avant de générer le rapport"
"Download the report","Télécharger le rapport"
"by species","par espèce"
"Select the taxa for which to generate the report:","Sélectionner le taxa pour lequel il faut générer le rapport"
"Download the report","Télécharger le rapport"
"Show only selected points (IN)","Ne montrer que les points sélectionnés (IN)"
"Restore original data","Restorer les données originales"
"Spatial data to use :","Données spatiales à utiliser :"
"Go to criterion B","Aller au critère B"
"Taxa to display:","Taxa à montrer :"
"Accuracy of coordinates:","Précision des coordonnées"
"Collecting spatial data documenting threats distribution","Collecte des données spatiales documentant la distribution des menaces"
"Choice of the site","Choix du site"
"Define your study area either by:","Définir la zone d'étude soit :"
"Drawing a polygon on the map ('Draw on map' tab and drawing tools on the right of the map to define a polygon)","En dessinant un polygone sur la carte ('Dessiner sur la carte' tab et les outils de dessins sur la droite de la carte pour définir un polygone"
